"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio_16_64_anys","Pes_atur"
2023,1,10,"Sant Martí",72,"Sant Martí de Provençals",16204,"7.3"
2023,1,10,"Sant Martí",73,"la Verneda i la Pau",17733,"7.5"
2023,2,1,"Ciutat Vella",1,"el Raval",34952,"8.4"
2023,2,1,"Ciutat Vella",2,"el Barri Gòtic",18929,"4.6"
2023,2,1,"Ciutat Vella",3,"la Barceloneta",10821,"7.7"
2023,2,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17298,"6.6"
2023,2,2,"Eixample",5,"el Fort Pienc",22678,"4.7"
2023,2,2,"Eixample",6,"la Sagrada Família",34523,"4.9"
2023,2,2,"Eixample",7,"la Dreta de l'Eixample",29919,"3.9"
2023,2,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29194,"4.0"
2023,2,2,"Eixample",9,"la Nova Esquerra de l'Eixample",37620,"4.8"
2023,2,2,"Eixample",10,"Sant Antoni",25800,"5.2"
2023,2,3,"Sants-Montjuïc",11,"el Poble Sec",28205,"6.5"
2023,2,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1053,"9.3"
2023,2,3,"Sants-Montjuïc",13,"la Marina de Port",20122,"7.7"
2023,2,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6943,"6.7"
2023,2,3,"Sants-Montjuïc",15,"Hostafrancs",10975,"5.7"
2023,2,3,"Sants-Montjuïc",16,"la Bordeta",12443,"5.9"
2023,2,3,"Sants-Montjuïc",17,"Sants - Badal",15878,"4.9"
2023,2,3,"Sants-Montjuïc",18,"Sants",29150,"5.1"
2023,2,4,"Les Corts",19,"les Corts",27435,"5.4"
2023,2,4,"Les Corts",20,"la Maternitat i Sant Ramon",14216,"5.4"
2023,2,4,"Les Corts",21,"Pedralbes",6896,"2.6"
2023,2,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3150,"2.8"
2023,2,5,"Sarrià-Sant Gervasi",23,"Sarrià",14854,"2.8"
2023,2,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",9703,"3.6"
2023,2,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15725,"3.4"
2023,2,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29742,"3.2"
2023,2,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",19118,"4.3"
2023,2,6,"Gràcia",28,"Vallcarca i els Penitents",10173,"5.2"
2023,2,6,"Gràcia",29,"el Coll",5050,"4.3"
2023,2,6,"Gràcia",30,"la Salut",8216,"5.5"
2023,2,6,"Gràcia",31,"la Vila de Gràcia",34715,"4.9"
2023,2,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22585,"4.9"
2023,2,7,"Horta-Guinardó",33,"el Baix Guinardó",16344,"5.2"
2023,2,7,"Horta-Guinardó",34,"Can Baró",6075,"5.4"
2023,2,7,"Horta-Guinardó",35,"el Guinardó",24193,"5.8"
2023,2,7,"Horta-Guinardó",36,"la Font d'en Fargues",5854,"7.2"
